value
"61,8"
"4,25"
"2,70"
"3,65"
"2,10"
"1,4%"
"5,0%"
"4,25"
"2,70"
"3,65"
"2,10"
