nome,receita_total,quantidade_total,num_pedidos_unicos,primeira_venda,ultima_venda,valor_unitario_medio,emitter_cnpj,ticket_medio,qtd_media_por_pedido,period_start,period_end,frequencia_pedidos_mes,recencia_dias,score_r,score_f,score_m,cluster_score,cluster_tier
ALLYS HOMERO ALVES ASSUNCAO,640373.0,497850.0,16,2024-01-12T12:48:39+00:00,2024-12-09T17:22:24+00:00,1.278125,9283980000151,40023.3125,31115.625,2024-01-12T12:48:39+00:00,2024-12-09T17:22:24+00:00,1.4669879518072289,21.666666666666668,96.96969696969697,0.9403768921841211,1.0296794542976904,20.18196193253212,D
ANITA CHEQUER COELHO COMERCIO DE RECICLAVEIS LTDA,1587635.5,1115802.61,172,2019-10-03T20:04:49+00:00,2022-02-25T19:43:36+00:00,1.3315527149321267,5990277000122,9230.438953488372,6487.224476744187,2019-10-03T20:04:49+00:00,2022-02-25T19:43:36+00:00,5.983634285714286,3.7454545454545456,99.47616020343293,3.8356630036630044,2.552817897168745,22.450624401019287,A
ANTONIO MOREIRA XAVIER NETO,3520.0,65000.0,2,2022-03-25T20:57:00+00:00,2022-09-12T19:30:00+00:00,0.11,9455501000137,1760.0,32500.0,2022-03-25T20:57:00+00:00,2022-09-12T19:30:00+00:00,0.35811764705882354,85.0,88.11188811188812,0.2295625942684766,0.005659938315837598,17.71646663541135,D
ANTUNES & SILVA RECICLAGEM LTDA - ME,223618.5,212970.0,8,2022-01-05T14:29:39+00:00,2022-01-07T21:16:22+00:00,1.05,2071236000144,27952.3125,26621.25,2022-01-05T14:29:39+00:00,2022-01-07T21:16:22+00:00,8.0,0.14285714285714285,99.98001998001999,5.128205128205128,0.35956446485230964,22.191111833226973,A
ANTUNES &amp; SILVA RECICLAGEM LTDA - ME,482099.35,298650.0,20,2022-05-31T16:22:25+00:00,2022-06-22T18:56:36+00:00,2.583909,2071236000144,24104.9675,14932.5,2022-05-31T16:22:25+00:00,2022-06-22T18:56:36+00:00,20.0,0.9473684210526315,99.8675009201325,12.82051282051282,0.7751853929276706,25.4117794694027,A
APARECIDA ALMEIDA VARGENS 05251544502,5000.0,4000.0,4,2022-05-03T17:53:10+00:00,2022-05-19T19:33:25+00:00,1.25,43410603000174,1250.0,1000.0,2022-05-03T17:53:10+00:00,2022-05-19T19:33:25+00:00,4.0,5.333333333333333,99.25407925407926,2.564102564102564,0.00803968510772386,20.879672750499967,C
ARCA ASSOCIACAO DE RECICLADORES E CATADORES AUTONOMOS,239404.0,274582.7,43,2024-05-22T18:02:35+00:00,2024-12-30T19:01:43+00:00,1.5878709677419356,8663397000103,5567.53488372093,6385.644186046512,2024-05-22T18:02:35+00:00,2024-12-30T19:01:43+00:00,5.896036036036036,1.3181818181818181,99.815638906548,3.7795102795102795,0.38494655470590466,21.628910514996075,B
ASCAMARE - ASSOCIACAO DOS CATADORES DE MATERIAIS RECICLAVEIS,64155.9,113428.0,16,2024-09-13T18:13:29+00:00,2025-03-18T15:35:14+00:00,1.6937777777777778,5956288000196,4009.74375,7089.25,2024-09-13T18:13:29+00:00,2025-03-18T15:35:14+00:00,2.6326486486486487,4.113636363636363,99.42466624284806,1.6875952875952875,0.10315864676052426,20.60123482231194,C
ASS DE CAT DE MAT RECIC DE SAO JOSE DE RIBAMAR,369919.25,750721.6,42,2024-04-22T13:44:00+00:00,2025-07-11T13:48:00+00:00,0.7974561403508772,43666934000170,8807.60119047619,17874.32380952381,2024-04-22T13:44:00+00:00,2025-07-11T13:48:00+00:00,2.8729887640449436,3.8672566371681416,99.4591249458506,1.841659464131374,0.594806857057076,20.866411517645503,C
ASS DE CATADORES DE MATERIAIS RECICLAVEIS DE IBIPITANGA/BA,123661.49,244817.71,22,2024-04-29T16:51:00+00:00,2024-09-18T19:10:00+00:00,2.4951256281407037,33544437000145,5620.976818181818,11128.077727272726,2024-04-29T16:51:00+00:00,2024-09-18T19:10:00+00:00,4.716056338028169,0.702020202020202,99.90181535636081,3.023113037197544,0.19883988791038867,21.269144241315338,B
ASS DOS CAT DE MAT RECICLAVEIS DA REGIAO DO ALTO ARAGUAIA,3857.0,77140.0,1,2023-09-29T00:47:53+00:00,2023-09-29T00:47:53+00:00,0.05,49963443000177,3857.0,77140.0,2023-09-29T00:47:53+00:00,2023-09-29T00:47:53+00:00,1.0,0.0,100.0,0.641025641025641,0.006201813092098186,20.258890981647095,C
ASS DOS CATADORES DE MATERIAIS RECICLAVEIS DE C DO PARANAIBA,25200.0,210000.0,14,2023-05-24T18:12:00+00:00,2023-09-08T18:51:00+00:00,0.12,14504627000194,1800.0,15000.0,2023-05-24T18:12:00+00:00,2023-09-08T18:51:00+00:00,3.9828037383177572,7.769230769230769,98.91339429800968,2.55307931943446,0.04052001294292826,20.82011859255289,C
ASS. DE AGEN AMBIE. E CAT. DE MAT. REUT. E RECI. DE ITABUNA,280537.66,302187.32,36,2024-05-22T14:40:11+00:00,2024-12-13T13:52:00+00:00,0.9148884325000001,42306706000126,7792.712777777777,8394.092222222222,2024-05-22T14:40:11+00:00,2024-12-13T13:52:00+00:00,5.371764705882353,4.82051282051282,99.32580240272549,3.443438914027149,0.45108688945153996,21.422970801936575,B
ASS. DE CAT. DE MATERIAIS RECICL�VEIS ECO RECICLA AMBIENTAL,151260.78,338898.0,31,2021-08-31T18:19:00+00:00,2023-08-25T18:31:00+00:00,0.3930711120462687,34093459000107,4879.38,10932.193548387097,2021-08-31T18:19:00+00:00,2023-08-25T18:31:00+00:00,1.3033701657458563,10.757575757575758,98.49544394998941,0.8354936959909335,0.24321780806973908,20.130573391622153,D
ASS. DOS CAT. DE MAT. REC DE GUARAPARI,1026.0,1026.0,3,2023-09-15T13:53:07+00:00,2023-12-04T13:43:00+00:00,1.0,4021818000141,342.0,342.0,2023-09-15T13:53:07+00:00,2023-12-04T13:43:00+00:00,1.1559493670886076,39.5,94.47552447552448,0.7409931840311588,0.0016497433841049364,19.192162066071003,D
ASS. DOS CAT. DE MAT. REC. DA REGIAO DO ALTO ARAGUAIA,1393.5,27870.0,5,2023-08-16T15:16:58+00:00,2023-08-16T16:00:43+00:00,0.05,49963443000177,278.7,5574.0,2023-08-16T15:16:58+00:00,2023-08-16T16:00:43+00:00,5.0,0.0,100.0,3.205128205128205,0.0022406602395226402,21.28294754614709,B
ASS. DOS CATADORES DE MATERIAIS REC. DE C. DO PARANAIBA,149956.0,387870.0,28,2021-11-23T16:22:00+00:00,2023-04-26T18:08:00+00:00,1.2601176470588236,14504627000194,5355.571428571428,13852.5,2021-11-23T16:22:00+00:00,2023-04-26T18:08:00+00:00,1.6422350674373796,6.0476190476190474,99.15417915417916,1.0527147868188331,0.2411198040027679,20.348369667164476,C
ASSO DOS CATA DE MATERIAIS RECICLAVEIS DE CRATEUS-RECICRATIU,382375.3,347191.0,33,2024-11-26T15:45:00+00:00,2024-11-28T16:08:00+00:00,2.6881147540983608,11089515000126,11587.130303030302,10520.939393939394,2024-11-26T15:45:00+00:00,2024-11-28T16:08:00+00:00,33.0,0.0,100.0,21.153846153846153,0.6148354009942888,28.707472621936176,A
ASSOC CATADORES RECICLAD VL CHOCOLATAO - ACR,354543.21,289975.843,42,2024-02-19T20:14:00+00:00,2025-06-30T23:03:00+00:00,2.2655464480874317,13140540000112,8441.505000000001,6904.186738095238,2024-02-19T20:14:00+00:00,2025-06-30T23:03:00+00:00,2.5723943661971833,1.326027397260274,99.8145416227608,1.648970747562297,0.5700831530963227,20.850529884815607,C
ASSOC COL PLASTICO PET PVC OUT MAT RECICLAVEIS,23548.0,74240.0,4,2023-09-16T22:37:00+00:00,2023-09-19T18:53:00+00:00,0.23636363636363636,12732999000142,5887.0,18560.0,2023-09-16T22:37:00+00:00,2023-09-19T18:53:00+00:00,4.0,0.2,99.97202797202797,2.564102564102564,0.0378637009833363,21.035192100439957,B
ASSOC COMUNITARIA DE MULHERES NA LUTA,422476.0,818193.5,36,2023-02-28T17:43:00+00:00,2024-12-31T11:44:00+00:00,0.8027118644067797,18848159000126,11735.444444444445,22727.597222222223,2023-02-28T17:43:00+00:00,2024-12-31T11:44:00+00:00,1.6331445603576753,2.8127659574468087,99.60660615979765,1.0468875386908174,0.6793148011141492,20.61180216788152,C
ASSOC DOS AG ECON ECOLOG DE CAP DA CANOA,1340723.0,1454516.6,128,2023-01-03T12:48:00+00:00,2024-12-30T14:37:00+00:00,1.336036036036036,4424777000134,10474.3984375,11363.4109375,2023-01-03T12:48:00+00:00,2024-12-30T14:37:00+00:00,5.359449793672628,2.033132530120482,99.71564579998315,3.4355447395337357,2.1557981473365717,22.179666314744754,A
ASSOC DOS CATADORES DE MATERIAIS RECICLAVEIS DE GUARAPARI,126610.48999999999,161963.6,118,2024-05-03T14:28:00+00:00,2025-06-30T12:33:00+00:00,1.4643440233236151,4021818000141,1072.9702542372881,1372.5728813559322,2024-05-03T14:28:00+00:00,2025-06-30T12:33:00+00:00,8.511658767772513,1.1228070175438596,99.84296405349036,5.456191517802893,0.20358169418692418,22.232502095494,A
ASSOCIACAO '' CIDADANIA PARA TODOS '',660.0,33000.0,1,2024-10-28T17:06:35+00:00,2024-10-28T17:06:35+00:00,0.02,8077789000190,660.0,33000.0,2024-10-28T17:06:35+00:00,2024-10-28T17:06:35+00:00,1.0,0.0,100.0,0.641025641025641,0.0010612384342195496,20.256834751783945,D
ASSOCIACAO ACAR JAU,548249.85,843901.0,87,2023-04-12T14:52:00+00:00,2023-12-26T13:40:00+00:00,0.9233413461538462,46988775000118,6301.722413793103,9700.011494252874,2023-04-12T14:52:00+00:00,2023-12-26T13:40:00+00:00,10.304591439688716,0.29482551143200963,99.95876566273678,6.605507333133792,0.8815512308713681,22.986576558149423,A
ASSOCIACAO BATAGUASSUENSE DE CATADORES DE MATERIAIS RECICLA,5521.08,7177.0,1,2024-01-23T12:36:22+00:00,2024-01-23T12:36:22+00:00,0.99,34459937000141,5521.08,7177.0,2024-01-23T12:36:22+00:00,2024-01-23T12:36:22+00:00,1.0,0.0,100.0,0.641025641025641,0.008877548930910412,20.25996127598262,C
ASSOCIACAO BATAGUASSUENSE DE CATADORES DE MATERIAIS RECICLAV,33480.85,62789.0,8,2024-06-28T19:41:13+00:00,2024-12-17T17:54:08+00:00,1.1872727272727273,34459937000141,4185.10625,7848.625,2024-06-28T19:41:13+00:00,2024-12-17T17:54:08+00:00,1.424093567251462,16.9,97.63636363636363,0.9128804918278604,0.053835098227787294,19.913958963294988,D
ASSOCIACAO CAPANEMA DE RECICLAVEIS ACAR,68955.08,129315.6,18,2023-12-21T11:17:00+00:00,2024-05-03T13:00:00+00:00,0.9862433862433863,31210601000152,3830.837777777778,7184.200000000001,2023-12-21T11:17:00+00:00,2024-05-03T13:00:00+00:00,4.088955223880597,0.6808510638297872,99.90477607498885,2.6211251435132032,0.1108754259555815,21.073755442785288,B
ASSOCIACAO COMUNITARIA AGENTES AMBIENTAIS DE TAMANDARE,147406.0,276360.0,50,2023-09-12T11:04:00+00:00,2024-06-05T11:30:00+00:00,0.4462962962962963,5364786000140,2948.12,5527.2,2023-09-12T11:04:00+00:00,2024-06-05T11:30:00+00:00,5.700374531835206,4.90566037735849,99.31389365351629,3.654086238355901,0.23701956459782872,21.419221051884747,B
ASSOCIACAO DE APOIO E ASSESSORIA A REDE DE RECICLAGEM E SUST,28033.44,58489.1,15,2024-07-03T12:27:01+00:00,2025-07-08T19:25:32+00:00,6.482427272727273,54990804000104,1868.896,3899.273333333333,2024-07-03T12:27:01+00:00,2025-07-08T19:25:32+00:00,1.234054054054054,17.38095238095238,97.56909756909758,0.7910602910602912,0.04507600601725408,19.848274032650533,D
ASSOCIACAO DE CAT DE MAT DE SAO JOSE DE RIBAMAR(MA),9405.5,24420.0,1,2023-09-18T12:00:43+00:00,2023-09-18T12:00:43+00:00,0.49166666666666664,43666934000170,9405.5,24420.0,2023-09-18T12:00:43+00:00,2023-09-18T12:00:43+00:00,1.0,0.0,100.0,0.641025641025641,0.015123451656139354,20.262459637072713,C
ASSOCIACAO DE CATADORES DE MATERIAIS RECICLAVEIS,390662.86,561041.1,106,2023-08-29T17:55:47+00:00,2024-12-23T13:14:40+00:00,0.7082666974983108,34150347000132,3685.498679245283,5292.840566037736,2023-08-29T17:55:47+00:00,2024-12-23T13:14:40+00:00,6.7081912681912685,1.464406779661017,99.79518786298446,4.300122607814916,0.6281612755365623,21.930351125937484,B
ASSOCIACAO DE CATADORES DE MATERIAIS RECICLAVEIS - ACMR,2140.0,33000.0,1,2024-11-22T18:26:08+00:00,2024-11-22T18:26:08+00:00,0.08499999999999999,23204633000117,2140.0,33000.0,2024-11-22T18:26:08+00:00,2024-11-22T18:26:08+00:00,1.0,0.0,100.0,0.641025641025641,0.003440985226105813,20.257786650500698,D
ASSOCIACAO DE CATADORES DE MATERIAIS RECICLAVEIS - JGM,14092.3,9655.0,2,2023-08-22T17:53:00+00:00,2023-09-12T16:07:00+00:00,3.113235294117647,38289956000128,7046.15,4827.5,2023-08-22T17:53:00+00:00,2023-09-12T16:07:00+00:00,2.0,0.6060606060606061,99.91523627887264,1.282051282051282,0.022659530888715394,20.504931580950526,C
ASSOCIACAO DE CATADORES DE MATERIAIS RECICLAVEIS CIDADE,161138.81,185054.0,29,2024-06-13T18:55:00+00:00,2024-12-23T14:16:52+00:00,1.048535442367647,33916293000100,5556.510689655172,6381.172413793103,2024-06-13T18:55:00+00:00,2024-12-23T14:16:52+00:00,4.597708333333333,2.716417910447761,99.62008141112618,2.947248931623932,0.25910105820666895,21.20655627815748,B
ASSOCIACAO DE CATADORES DE MATERIAIS RECICLAVEIS CIDADE MAIS,92226.0,226300.0,22,2023-08-30T14:02:16+00:00,2024-05-16T12:52:46+00:00,0.4373323932204082,33916293000100,4192.090909090909,10286.363636363636,2023-08-30T14:02:16+00:00,2024-05-16T12:52:46+00:00,2.5856370656370657,5.229166666666667,99.26864801864802,1.6574596574596576,0.14829359974898815,20.576030906613063,C
ASSOCIACAO DE CATADORES DE MATERIAIS RECICLAVEIS CORBELIA,77672.63,165385.0,41,2023-10-09T13:38:50+00:00,2024-05-21T14:56:14+00:00,0.5201725397196262,22516608000106,1894.4543902439025,4033.7804878048782,2023-10-09T13:38:50+00:00,2024-05-21T14:56:14+00:00,5.546844444444445,1.9528301886792452,99.72687689668822,3.5556695156695164,0.12489269733774913,21.417600264540557,B
ASSOCIACAO DE CATADORES DE MATERIAIS RECICLAVEIS D,223772.8,190037.15,30,2024-02-22T10:14:00+00:00,2024-12-17T12:35:00+00:00,1.4294117647058824,28443269000161,7459.093333333333,6334.571666666667,2024-02-22T10:14:00+00:00,2024-12-17T12:35:00+00:00,3.054180602006689,1.5376344086021505,99.78494623655914,1.957808078209416,0.359812569534734,20.884037506409488,C
ASSOCIACAO DE CATADORES DE MATERIAIS RECICLAVEIS DO MUNICIPI,161097.72,106946.783,18,2023-09-28T18:37:37+00:00,2025-02-17T21:51:13+00:00,3.2718954248366017,38289956000128,8949.873333333333,5941.487944444444,2023-09-28T18:37:37+00:00,2025-02-17T21:51:13+00:00,1.0785826771653544,1.639344262295082,99.77072108219649,0.6913991520290733,0.2590349880744537,20.33431787248071,C
ASSOCIACAO DE CATADORES DE MATERIAIS RECICLAVEIS E AMIGOS DO,225636.5,278011.01,43,2024-01-09T11:17:00+00:00,2024-12-09T12:33:00+00:00,1.259673202614379,9034002000176,5247.360465116279,6465.372325581396,2024-01-09T11:17:00+00:00,2024-12-09T12:33:00+00:00,3.9072238805970154,1.0524590163934426,99.85280293477015,2.5046306926903945,0.362809281761787,21.117536576734906,B
ASSOCIACAO DE CATADORES DE MATERIAIS RECICLAVEIS ECO,120703.7,135370.0,23,2024-06-11T13:35:43+00:00,2024-12-23T14:20:27+00:00,0.9597198628800001,34093459000107,5247.986956521739,5885.652173913043,2024-06-11T13:35:43+00:00,2024-12-23T14:20:27+00:00,3.5903589743589746,2.6666666666666665,99.62703962703962,2.301512163050625,0.19408394786743374,20.923646369775145,C
ASSOCIACAO DE CATADORES DE MATERIAIS RECICLAVEIS ECO FRANK,1011343.5,1550612.65,16,2021-09-28T12:55:05+00:00,2024-09-18T18:37:33+00:00,0.71503753645,28870610000165,63208.96875,96913.290625,2021-09-28T12:55:05+00:00,2024-09-18T18:37:33+00:00,0.44847145488029466,56.89473684210526,92.0426941479573,0.28748170184634275,1.6261766551486656,19.174002172389464,D
ASSOCIACAO DE CATADORES DE MATERIAIS RECICLAVEIS ECO RECICLA,73108.25,191242.0,45,2023-08-31T14:23:10+00:00,2024-05-20T18:33:35+00:00,0.3417598961378947,34093459000107,1624.6277777777777,4249.822222222222,2023-08-31T14:23:10+00:00,2024-05-20T18:33:35+00:00,5.208365019011407,2.595744680851064,99.63695878589496,3.3386955250073127,0.1175534617553506,21.309891351884062,B
ASSOCIACAO DE CATADORES DE MATERIAIS RECICLAVEIS ITAQUI,395422.42,690752.38,89,2022-03-09T13:30:00+00:00,2024-02-27T18:30:00+00:00,0.7412500000000001,22488611000163,4442.948539325843,7761.262696629214,2022-03-09T13:30:00+00:00,2024-02-27T18:30:00+00:00,3.7627222222222225,6.912621359223301,99.03319980989885,2.4120014245014247,0.6358143482668259,21.02576627108707,B
ASSOCIACAO DE CATADORES DE MATERIAIS RECICLAVEIS JGM,36142.42,33339.0,6,2023-02-01T15:01:00+00:00,2023-06-30T22:49:00+00:00,3.3401282051282046,38289956000128,6023.736666666667,5556.5,2023-02-01T15:01:00+00:00,2023-06-30T22:49:00+00:00,1.225771812080537,1.9090909090909092,99.73299427844883,0.7857511615900878,0.058114735166220205,20.28414521439229,C
ASSOCIACAO DE CATADORES DE MATERIAL RECICLAVEL VARZEA GRANDE,157212.0,269440.0,26,2025-04-14T19:44:04+00:00,2025-06-30T20:15:35+00:00,0.573076923076923,10921355000177,6046.615384615385,10363.076923076924,2025-04-14T19:44:04+00:00,2025-06-30T20:15:35+00:00,10.278441558441559,2.84,99.6027972027972,6.588744588744588,0.25278699503109675,22.65717207406972,A
ASSOCIACAO DE CATADORES DE SAO JOSE DE RIBAMAR(MA),68362.74,195002.282,10,2023-09-01T19:18:59+00:00,2023-09-13T20:04:54+00:00,0.44431818181818183,43666934000170,6836.274,19500.2282,2023-09-01T19:18:59+00:00,2023-09-13T20:04:54+00:00,10.0,0.2558139534883721,99.96422182468694,6.41025641025641,0.10992298054023966,22.60091612125605,A
ASSOCIACAO DE CATADORES E CATADORAS DE MATERIAIS R,20433.49,67066.05,11,2023-10-06T03:00:00+00:00,2024-10-21T03:00:00+00:00,0.7582800000000001,34665291000159,1857.5900000000001,6096.913636363636,2023-10-06T03:00:00+00:00,2024-10-21T03:00:00+00:00,0.8788451443569555,15.875,97.77972027972028,0.5633622720236894,0.032855765050364895,19.79443127077368,D
ASSOCIACAO DE CATADORES E CATADORAS DE MATERIAIS RECICLAVEIS,26847.0,44930.0,3,2024-04-02T20:50:00+00:00,2024-04-18T20:42:00+00:00,0.625,32625476000104,8949.0,14976.666666666666,2024-04-02T20:50:00+00:00,2024-04-18T20:42:00+00:00,3.0,5.0,99.3006993006993,1.9230769230769231,0.0431682852174125,20.6466379434576,C
ASSOCIACAO DE CATADORES E RECICLADORES DE UBERLANDIA,830118.22,1354015.0,41,2024-01-03T13:23:55+00:00,2025-07-28T19:35:20+00:00,0.8018367346938776,13751203000161,20246.785853658537,33024.756097560974,2024-01-03T13:23:55+00:00,2025-07-28T19:35:20+00:00,2.181888111888112,3.863013698630137,99.45971836382796,1.3986462255693026,1.334777818196848,20.985313290272053,B
ASSOCIACAO DE CATADORES RECICLA MAIS BRASIL,23304.12,56893.35,7,2024-07-23T19:23:51+00:00,2024-07-31T21:50:29+00:00,0.842962962962963,19491165000131,3329.16,8127.621428571429,2024-07-23T19:23:51+00:00,2024-07-31T21:50:29+00:00,7.0,0.11320754716981132,99.98416677661962,4.487179487179487,0.037471557302521954,21.80669377311673,B
ASSOCIACAO DE CATADORES RECICLAR E PRECISO ACRP,76039.4,118087.0,7,2024-11-25T16:59:37+00:00,2025-05-27T16:39:39+00:00,0.62,35182288000147,10862.771428571428,16869.571428571428,2024-11-25T16:59:37+00:00,2025-05-27T16:39:39+00:00,1.1707692307692308,20.11111111111111,97.18725718725719,0.7504930966469427,0.12226656635605156,19.78655530265264,D
ASSOCIACAO DE COLETORES DE PLASTICO PET PVC E OUTROS MATERIA,910375.1900000001,2467455.8,102,2023-10-16T18:57:46+00:00,2025-01-15T19:11:43+00:00,0.573768115942029,12732999000142,8925.246960784314,24190.7431372549,2023-10-16T18:57:46+00:00,2025-01-15T19:11:43+00:00,6.794048140043763,3.218978102189781,99.549793272421,4.355159064130618,1.4638259714968562,22.237552668735187,A
ASSOCIACAO DOS AGENTES ECOLOGICOS DE DOURADOS,152260.42,621410.4,23,2024-11-09T19:14:35+00:00,2025-02-25T18:24:21+00:00,1.3761111111111113,5946458000151,6620.018260869566,27017.84347826087,2024-11-09T19:14:35+00:00,2025-02-25T18:24:21+00:00,6.543177570093459,1.1797752808988764,99.83499646420995,4.194344596213755,0.24482516623395612,21.742667197821074,B
ASSOCIACAO DOS CATADORES ARAGUAIA RECICLA,2356.5,47130.0,1,2023-10-06T12:47:28+00:00,2023-10-06T12:47:28+00:00,0.05,49963443000177,2356.5,47130.0,2023-10-06T12:47:28+00:00,2023-10-06T12:47:28+00:00,1.0,0.0,100.0,0.641025641025641,0.003789103591270256,20.257925897846764,D
ASSOCIACAO DOS CATADORES DE COLETA SELETIVA DE PORTO NACIONA,86306.0,107639.0,5,2024-08-26T18:39:21+00:00,2024-11-19T22:41:10+00:00,1.7899999999999998,9148264000161,17261.2,21527.8,2024-08-26T18:39:21+00:00,2024-11-19T22:41:10+00:00,1.7905882352941176,20.75,97.09790209790211,1.147812971342383,0.1387746125814431,19.934215453149953,D
ASSOCIACAO DOS CATADORES DE MATERIAIS RECICLAVEIS DE AREZ,248747.81,155556.5,48,2025-01-03T03:00:00+00:00,2025-06-30T03:00:00+00:00,3.4075,34392249000101,5182.246041666666,3240.7604166666665,2025-01-03T03:00:00+00:00,2025-06-30T03:00:00+00:00,8.208539325842697,3.7872340425531914,99.47031691712542,5.261884183232498,0.39997081272718493,22.15880538180896,B
ASSOCIACAO DOS CATADORES DE MATERIAIS RECICLAVEIS DE CARMO D,168990.8,1239990.0,81,2023-10-10T12:16:49+00:00,2025-06-23T19:24:03+00:00,0.13452380952380952,14504627000194,2086.306172839506,15308.518518518518,2023-10-10T12:16:49+00:00,2025-06-23T19:24:03+00:00,3.964051446945338,7.0843373493975905,99.00918358749684,2.541058619836755,0.27172656362046826,20.92695079088226,B
ASSOCIACAO DOS CATADORES DE MATERIAIS RECICLAVEIS DE CAXAMBU,31699.5,39866.0,9,2024-01-19T11:26:00+00:00,2024-06-07T13:10:00+00:00,1.6982978723404256,17209317000135,3522.1666666666665,4429.555555555556,2024-01-19T11:26:00+00:00,2024-06-07T13:10:00+00:00,1.9568571428571429,3.0217391304347827,99.57737914259653,1.2543956043956044,0.05097079961445851,20.43762239012333,C
ASSOCIACAO DOS CATADORES DE MATERIAIS RECICLAVEIS DE MARATAI,21809.52,30990.0,5,2025-01-14T17:07:18+00:00,2025-04-24T17:01:41+00:00,1.944,18496510000167,4361.904,6198.0,2025-01-14T17:07:18+00:00,2025-04-24T17:01:41+00:00,1.5373737373737375,7.0,99.02097902097901,0.9854959854959856,0.03506833463012114,20.212421532246246,D
