cluster,material_base,state,n_obs,fair_buy_Q1,fair_target,fair_sell_Q3,heterogeneity,n_products,n_months,emitter_sector,receiver_sector,top_products,quality
OUTROS_RESIDUAL,OUTROS,RS,35,0.8,1.0,1.275,0.285,1,17,COLETA_RECICLAGEM,COMERCIO_ATACADO,SUCATA DE BALDE BACIA PRETO,C (razoável)
OUTROS_RESIDUAL,OUTROS,SP,24,0.5,0.8,1.125,1.015,2,15,COLETA_RECICLAGEM,COLETA_RECICLAGEM,"SUCATA DE BALDE BACIA PRETO, SUCATA DE AEROSOL",C (razoável)
PE/FILME,PE/FILME,CE,18,0.65,0.8,0.8,0.265,1,6,COOPERATIVA,COMERCIO_ATACADO,SUCATA DE FILME COLORIDO,D (insuficiente)
PE/FILME,PE/FILME,DF,33,0.3,0.35,0.53,0.446,1,21,COOPERATIVA,COLETA_RECICLAGEM,PE PRETO / PE COLORIDO,C (razoável)
PE/FILME,PE/FILME,ES,23,0.7,0.7,0.8,0.068,1,12,COOPERATIVA,COMERCIO_ATACADO,SUCATA DE FILME COLORIDO,C (razoável)
PE/FILME,PE/FILME,MA,6,0.4,0.4,0.475,0.119,1,2,COLETA_RECICLAGEM,COMERCIO_ATACADO,SUCATA DE FILME COLORIDO,D (insuficiente)
PE/FILME,PE/FILME,MG,89,0.7,1.0,1.0,0.154,1,26,COOPERATIVA,COLETA_RECICLAGEM,SUCATA DE FILME COLORIDO,B (bom)
PE/FILME,PE/FILME,PA,5,0.2,0.2,0.5,0.725,1,4,COLETA_RECICLAGEM,COMERCIO,SUCATA DE FILME COLORIDO,D (insuficiente)
PE/FILME,PE/FILME,PR,14,0.7,0.7,0.7,0.0,1,13,COMERCIO_ATACADO,COLETA_RECICLAGEM,PE CANELA,D (insuficiente)
PE/FILME,PE/FILME,RJ,36,0.2,0.3,0.5,0.622,1,18,COOPERATIVA,COMERCIO_ATACADO,SUCATA DE FILME COLORIDO,C (razoável)
PE/FILME,PE/FILME,RS,90,0.3,0.5,0.9,0.637,5,27,COLETA_RECICLAGEM,COMERCIO_ATACADO,"SUCATA DE FILME COLORIDO, PE PRETO / PE COLORIDO, PE CANELA",C (razoável)
PE/FILME,PE/FILME,SP,48,1.4,4.2,5.575,0.607,3,23,COMERCIO_ATACADO,INDUSTRIA,"PE PRETO / PE COLORIDO, PE CANELA, SUCATA DE FILME COLORIDO",C (razoável)
PEAD,PEAD,ES,30,1.0,1.0,1.0,0.0,1,9,COOPERATIVA,COLETA_RECICLAGEM,PEAD CRISTAL,C (razoável)
PEAD_TIER1,PEAD,BA,28,0.8,0.8,0.8,0.0,1,9,COOPERATIVA,COLETA_RECICLAGEM,SUCATA DE PEAD SACOLINHA,C (razoável)
PEAD_TIER1,PEAD,CE,21,0.5,0.5,0.6,0.091,1,5,COOPERATIVA,COLETA_RECICLAGEM,SUCATA DE PEAD SACOLINHA,C (razoável)
PEAD_TIER1,PEAD,DF,65,2.6,4.3,4.5,0.342,1,17,COMERCIO_ATACADO,COOPERATIVA,PEAD MISTO,B (bom)
PEAD_TIER1,PEAD,PR,10,1.85,2.0,2.18,0.18,2,10,COOPERATIVA,COMERCIO_ATACADO,"PEAD MISTO, SUCATA DE PEAD SACOLINHA",D (insuficiente)
PEAD_TIER1,PEAD,SP,324,0.01,0.02,0.463,1.53,2,29,COMERCIO_ATACADO,COMERCIO_ATACADO,"PEAD MISTO, SUCATA DE PEAD SACOLINHA",C (razoável)
PEAD_TIER2,PEAD,DF,102,1.7,2.138,2.4,0.273,1,32,COLETA_RECICLAGEM,COMERCIO_ATACADO,SUCATA DE PEAD COLORIDO,A (excelente)
PEAD_TIER2,PEAD,ES,81,2.4,2.8,3.2,0.213,1,19,COMERCIO_ATACADO,COMERCIO_ATACADO,SUCATA DE PEAD COLORIDO,B (bom)
PEAD_TIER2,PEAD,GO,7,3.365,3.73,3.73,0.243,1,3,INDUSTRIA,COLETA_RECICLAGEM,SUCATA DE PEAD COLORIDO,D (insuficiente)
PEAD_TIER2,PEAD,MA,11,1.15,1.7,1.7,0.221,1,9,COLETA_RECICLAGEM,COMERCIO_ATACADO,SUCATA DE PEAD COLORIDO,D (insuficiente)
PEAD_TIER2,PEAD,MG,351,2.1,2.5,2.8,0.209,1,33,COOPERATIVA,COMERCIO_ATACADO,SUCATA DE PEAD COLORIDO,A (excelente)
PEAD_TIER2,PEAD,PR,355,2.1,2.4,2.597,0.196,2,36,COOPERATIVA,COMERCIO_ATACADO,"SUCATA DE PEAD COLORIDO, SUCATA DE PEAD CRISTAL",A (excelente)
PEAD_TIER2,PEAD,RJ,482,0.4,2.4,3.0,0.642,1,28,COOPERATIVA,COMERCIO_ATACADO,SUCATA DE PEAD COLORIDO,C (razoável)
PEAD_TIER2,PEAD,RS,111,2.2,2.2,2.35,0.111,1,28,COLETA_RECICLAGEM,COMERCIO_ATACADO,SUCATA DE PEAD COLORIDO,A (excelente)
PEAD_TIER2,PEAD,SC,18,1.0,3.1,3.4,0.562,1,9,COMERCIO_ATACADO,COLETA_RECICLAGEM,SUCATA DE PEAD COLORIDO,D (insuficiente)
PEAD_TIER2,PEAD,SP,305,1.7,2.1,2.4,0.375,1,36,COLETA_RECICLAGEM,COMERCIO_ATACADO,SUCATA DE PEAD COLORIDO,B (bom)
PEAD_TIER3,PEAD,DF,77,2.5,2.6,2.8,0.249,1,21,COMERCIO_ATACADO,COMERCIO_ATACADO,SUCATA DE PEAD BRANCO,B (bom)
PEAD_TIER3,PEAD,ES,69,2.9,3.5,3.5,0.178,2,16,COMERCIO_ATACADO,INDUSTRIA,"SUCATA DE PEAD BRANCO, PEAD BOMBONA",B (bom)
PEAD_TIER3,PEAD,MA,5,1.2,1.2,2.0,0.354,1,3,COLETA_RECICLAGEM,COMERCIO_ATACADO,SUCATA DE PEAD BRANCO,D (insuficiente)
PEAD_TIER3,PEAD,MG,245,2.3,2.5,3.1,0.195,1,33,COOPERATIVA,COLETA_RECICLAGEM,SUCATA DE PEAD BRANCO,A (excelente)
PEAD_TIER3,PEAD,PA,7,0.13,0.13,0.13,0.0,1,4,COLETA_RECICLAGEM,COLETA_RECICLAGEM,SUCATA DE PEAD BRANCO,D (insuficiente)
PEAD_TIER3,PEAD,PR,239,2.45,2.65,2.85,0.105,2,28,COOPERATIVA,COMERCIO_ATACADO,"SUCATA DE PEAD BRANCO, PEAD BOMBONA",A (excelente)
PEAD_TIER3,PEAD,RJ,302,2.1,2.6,2.9,0.501,1,28,COOPERATIVA,COMERCIO_ATACADO,SUCATA DE PEAD BRANCO,C (razoável)
PEAD_TIER3,PEAD,RS,84,2.2,2.3,2.45,0.122,1,27,COLETA_RECICLAGEM,COMERCIO_ATACADO,SUCATA DE PEAD BRANCO,B (bom)
PEAD_TIER3,PEAD,SC,6,0.2,0.4,0.6,1.3,1,3,COMERCIO_ATACADO,COLETA_RECICLAGEM,SUCATA DE PEAD BRANCO,D (insuficiente)
PEAD_TIER3,PEAD,SP,334,1.9,2.3,2.5,0.512,2,36,COLETA_RECICLAGEM,COMERCIO_ATACADO,"SUCATA DE PEAD BRANCO, PEAD BOMBONA",C (razoável)
PET,PET,RS,6,0.45,1.038,3.032,0.899,2,4,COLETA_RECICLAGEM,COLETA_RECICLAGEM,"SUCATA DE PET AMBAR, SUCATA PET CRISTAL E VERDE",D (insuficiente)
PET_TIER1,PET,ES,5,1.0,1.0,1.0,0.0,1,5,COOPERATIVA,COOPERATIVA,SUCATA DE PET BANDEJA,D (insuficiente)
PET_TIER1,PET,MG,58,0.3,0.4,0.4,1.341,2,24,COOPERATIVA,COMERCIO_ATACADO,"SUCATA DE PET COLORIDO, FITA PET VERDE",C (razoável)
PET_TIER1,PET,PR,35,0.01,0.05,1.8,1.274,3,22,COOPERATIVA,COLETA_RECICLAGEM,"SUCATA DE PET BANDEJA, SUCATA DE PET COLORIDO, FITA PET VERDE",C (razoável)
PET_TIER1,PET,RS,21,0.3,0.7,1.0,0.474,3,10,COLETA_RECICLAGEM,COLETA_RECICLAGEM,"SUCATA DE PET BANDEJA, FITA PET VERDE, SUCATA DE PET COLORIDO",C (razoável)
PET_TIER1,PET,SP,69,0.2,0.2,0.3,2.026,3,22,COLETA_RECICLAGEM,COMERCIO_ATACADO,"SUCATA DE PET COLORIDO, FITA PET VERDE, SUCATA DE PET BANDEJA",C (razoável)
PET_TIER2,PET,BA,16,0.5,0.5,0.8,1.057,1,9,COOPERATIVA,COLETA_RECICLAGEM,PET OLEO,D (insuficiente)
PET_TIER2,PET,CE,80,0.5,0.6,1.0,0.529,2,21,INDUSTRIA,INDUSTRIA,"PET COLORIDO, PET OLEO",C (razoável)
PET_TIER2,PET,DF,115,0.342,0.5,0.5,0.516,2,35,COLETA_RECICLAGEM,COMERCIO_ATACADO,"PET OLEO, PET COLORIDO",C (razoável)
PET_TIER2,PET,ES,38,1.0,1.96,3.5,0.698,2,16,COOPERATIVA,COMERCIO_ATACADO,"PET OLEO, PET COLORIDO",C (razoável)
PET_TIER2,PET,GO,26,0.6,0.7,0.95,0.508,1,20,COLETA_RECICLAGEM,COLETA_RECICLAGEM,PET OLEO,C (razoável)
PET_TIER2,PET,MG,291,0.8,1.1,1.3,0.601,2,32,COOPERATIVA,COMERCIO_ATACADO,"PET OLEO, PET COLORIDO",C (razoável)
PET_TIER2,PET,MS,23,1.0,1.2,2.35,0.503,1,13,COMERCIO_ATACADO,COLETA_RECICLAGEM,PET OLEO,C (razoável)
PET_TIER2,PET,PR,303,0.8,1.4,1.8,0.445,2,36,COOPERATIVA,COMERCIO_ATACADO,"PET OLEO, PET COLORIDO",B (bom)
PET_TIER2,PET,RJ,60,1.4,1.4,1.4,0.056,1,14,COLETA_RECICLAGEM,COMERCIO_ATACADO,PET OLEO,B (bom)
PET_TIER2,PET,RS,53,0.8,2.2,2.4,0.502,3,32,COLETA_RECICLAGEM,COMERCIO_ATACADO,"PET AZEITE, PET COLORIDO, PET OLEO",C (razoável)
PET_TIER2,PET,SP,303,0.6,0.8,1.2,0.73,2,36,COLETA_RECICLAGEM,COLETA_RECICLAGEM,"PET OLEO, PET COLORIDO",C (razoável)
PET_TIER3,PET,AM,6,2.5,2.5,2.5,0.0,1,4,COLETA_RECICLAGEM,INDUSTRIA,SUCATA PET,D (insuficiente)
PET_TIER3,PET,BA,81,1.8,2.2,6.5,0.633,2,21,COOPERATIVA,INDUSTRIA,"SUCATA PET, PET VERDE",C (razoável)
PET_TIER3,PET,CE,33,0.2,1.8,1.9,0.609,2,9,COOPERATIVA,COLETA_RECICLAGEM,"SUCATA PET, PET VERDE",C (razoável)
PET_TIER3,PET,ES,52,5.75,6.05,6.15,0.155,2,11,COMERCIO_ATACADO,OUTROS_SETOR,"SUCATA PET, PET VERDE",B (bom)
PET_TIER3,PET,GO,48,2.075,3.5,3.7,0.303,2,24,COLETA_RECICLAGEM,COLETA_RECICLAGEM,"SUCATA PET, PET VERDE",C (razoável)
PET_TIER3,PET,MA,44,0.6,0.6,1.425,0.699,1,18,COOPERATIVA,COMERCIO_ATACADO,SUCATA PET,C (razoável)
PET_TIER3,PET,MG,129,3.5,4.0,5.2,0.322,3,25,COOPERATIVA,COMERCIO_ATACADO,"SUCATA PET, PET VERDE, SUCATA DE PET LEITOSO",B (bom)
PET_TIER3,PET,MS,11,3.9,4.8,4.8,0.133,2,7,COMERCIO_ATACADO,INDUSTRIA,"PET VERDE, SUCATA PET",D (insuficiente)
PET_TIER3,PET,MT,5,3.8,3.8,3.8,0.047,2,2,COLETA_RECICLAGEM,OUTROS_SETOR,"PET VERDE, SUCATA PET",D (insuficiente)
PET_TIER3,PET,PA,21,0.8,0.8,2.0,0.686,2,9,COLETA_RECICLAGEM,INDUSTRIA,"SUCATA PET, PET VERDE",C (razoável)
PET_TIER3,PET,PE,128,3.65,4.7,5.61,0.195,1,19,COLETA_RECICLAGEM,INDUSTRIA,PET VERDE,A (excelente)
PET_TIER3,PET,PR,161,2.4,3.3,3.8,0.272,3,33,COOPERATIVA,COLETA_RECICLAGEM,"PET VERDE, SUCATA PET, SUCATA DE PET LEITOSO",A (excelente)
PET_TIER3,PET,RJ,309,4.1,4.5,4.72,0.227,2,25,COMERCIO_ATACADO,COLETA_RECICLAGEM,"SUCATA PET, PET VERDE",A (excelente)
PET_TIER3,PET,RN,32,3.5,4.7,5.0,0.222,1,12,COLETA_RECICLAGEM,INDUSTRIA,PET VERDE,C (razoável)
PET_TIER3,PET,RS,201,1.7,2.4,3.6,0.438,3,36,COLETA_RECICLAGEM,COMERCIO_ATACADO,"PET VERDE, SUCATA DE PET LEITOSO, SUCATA PET",B (bom)
PET_TIER3,PET,SC,139,1.05,2.05,2.1,0.315,1,33,COOPERATIVA,COMERCIO_ATACADO,SUCATA PET,B (bom)
PET_TIER3,PET,SP,425,2.4,3.2,3.8,0.349,2,36,COLETA_RECICLAGEM,COMERCIO_ATACADO,"SUCATA PET, PET VERDE",B (bom)
PET_TIER4,PET,BA,67,1.3,5.7,6.6,0.664,3,12,INDUSTRIA,COLETA_RECICLAGEM,"PET CRISTAL, SUCATA DE PET VERDE, SUCATA DE PET CRISTAL",C (razoável)
PET_TIER4,PET,ES,163,1.8,4.5,5.7,0.498,3,24,COMERCIO_ATACADO,COLETA_RECICLAGEM,"SUCATA DE PET VERDE, PET CRISTAL, SUCATA DE PET CRISTAL",B (bom)
PET_TIER4,PET,GO,301,4.0,4.9,6.2,0.239,3,26,COMERCIO_ATACADO,INDUSTRIA,"SUCATA DE PET VERDE, PET CRISTAL, SUCATA DE PET CRISTAL",A (excelente)
PET_TIER4,PET,MG,271,4.6,5.0,5.8,0.213,3,21,COOPERATIVA,COLETA_RECICLAGEM,"PET CRISTAL, SUCATA DE PET VERDE, SUCATA DE PET CRISTAL",A (excelente)
PET_TIER4,PET,MS,14,2.442,3.55,4.8,0.375,3,8,COLETA_RECICLAGEM,COLETA_RECICLAGEM,"PET CRISTAL, SUCATA DE PET VERDE, SUCATA DE PET CRISTAL",D (insuficiente)
PET_TIER4,PET,PB,43,2.8,3.0,3.05,0.047,1,7,COMERCIO_ATACADO,INDUSTRIA,SUCATA DE PET VERDE,C (razoável)
PET_TIER4,PET,PE,1389,4.7,5.0,6.2,0.177,3,27,COMERCIO_ATACADO,INDUSTRIA,"SUCATA DE PET CRISTAL, SUCATA DE PET VERDE, PET CRISTAL",A (excelente)
PET_TIER4,PET,PR,271,1.5,2.2,3.5,0.417,3,35,COOPERATIVA,COLETA_RECICLAGEM,"PET CRISTAL, SUCATA DE PET CRISTAL, SUCATA DE PET VERDE",B (bom)
PET_TIER4,PET,RJ,25,4.5,4.7,4.8,0.098,2,9,COOPERATIVA,COLETA_RECICLAGEM,"PET CRISTAL, SUCATA DE PET VERDE",C (razoável)
PET_TIER4,PET,RN,33,3.6,4.85,5.0,0.203,1,12,COLETA_RECICLAGEM,INDUSTRIA,PET CRISTAL,C (razoável)
PET_TIER4,PET,RS,281,0.15,2.8,3.8,0.727,3,36,COLETA_RECICLAGEM,COMERCIO_ATACADO,"PET CRISTAL, SUCATA DE PET VERDE, SUCATA DE PET CRISTAL",C (razoável)
PET_TIER4,PET,SP,296,3.2,3.9,4.2,0.303,3,36,COMERCIO_ATACADO,COMERCIO_ATACADO,"PET CRISTAL, SUCATA DE PET VERDE, SUCATA DE PET CRISTAL",B (bom)
PP,PP,MG,5,0.2,0.3,0.3,0.211,2,4,COOPERATIVA,COMERCIO_ATACADO,"FITA PP BRANCA, FITA PP PRETA",D (insuficiente)
PP,PP,RS,7,0.485,1.3,1.45,0.694,2,6,COLETA_RECICLAGEM,COMERCIO_ATACADO,"SUCATA DE PP BALDE BACIA COLORIDO, FITA PP BRANCA",D (insuficiente)
PP_TIER1,PP,BA,5,0.9,0.9,0.9,0.049,2,2,COOPERATIVA,DESCONHECIDO,"PP BALDE BACIA BRANCO, SUCATA DE PP TAMPINHA",D (insuficiente)
PP_TIER1,PP,CE,52,1.0,1.0,1.2,0.15,3,11,COOPERATIVA,COLETA_RECICLAGEM,"PP BALDE BACIA BRANCO, SUCATA DE PP TAMPINHA, PP PRETO",B (bom)
PP_TIER1,PP,DF,23,0.5,0.8,1.2,0.424,1,6,COMERCIO_ATACADO,COMERCIO_ATACADO,PP PRETO,C (razoável)
PP_TIER1,PP,ES,40,1.2,1.931,1.931,0.287,3,13,COMERCIO_ATACADO,INDUSTRIA,"PP PRETO, PP BALDE BACIA BRANCO, SUCATA DE PP TAMPINHA",C (razoável)
PP_TIER1,PP,GO,19,0.7,1.1,1.45,0.392,3,10,COLETA_RECICLAGEM,COMERCIO_ATACADO,"PP PRETO, PP BALDE BACIA BRANCO, PP BALDE BACIA COLORIDO",D (insuficiente)
PP_TIER1,PP,MA,29,0.35,0.5,0.5,0.185,2,15,COOPERATIVA,COMERCIO_ATACADO,"PP BALDE BACIA BRANCO, PP BALDE BACIA COLORIDO",C (razoável)
PP_TIER1,PP,MG,245,0.8,1.1,1.2,0.342,3,30,COOPERATIVA,COLETA_RECICLAGEM,"PP PRETO, SUCATA DE PP TAMPINHA, SUCATA DE PP BALDE BACIA BRANCO",B (bom)
PP_TIER1,PP,MS,18,0.6,0.8,0.9,0.245,2,11,OUTROS_SETOR,COLETA_RECICLAGEM,"PP PRETO, SUCATA DE PP TAMPINHA",D (insuficiente)
PP_TIER1,PP,PE,6,0.1,0.1,0.1,0.0,1,2,COLETA_RECICLAGEM,COMERCIO_ATACADO,PP PRETO,D (insuficiente)
PP_TIER1,PP,PR,448,0.8,1.05,1.4,0.359,4,36,COOPERATIVA,COMERCIO_ATACADO,"PP PRETO, PP BALDE BACIA BRANCO, SUCATA DE PP TAMPINHA",B (bom)
PP_TIER1,PP,RJ,198,1.6,1.6,1.7,0.298,1,18,COOPERATIVA,COMERCIO_ATACADO,PP PRETO,A (excelente)
PP_TIER1,PP,RS,243,0.725,1.0,1.45,0.463,6,35,COLETA_RECICLAGEM,COMERCIO_ATACADO,"PP BALDE BACIA BRANCO, PP BALDE BACIA COLORIDO, SUCATA DE PP TAMPINHA",B (bom)
PP_TIER1,PP,SP,311,0.6,0.9,1.3,0.64,5,35,COLETA_RECICLAGEM,COMERCIO_ATACADO,"PP PRETO, SUCATA DE PP BALDE BACIA BRANCO, PP BALDE BACIA COLORIDO",C (razoável)
PP_TIER2,PP,BA,24,0.8,0.8,0.8,0.069,1,8,COOPERATIVA,COLETA_RECICLAGEM,PP BRANCO,C (razoável)
PP_TIER2,PP,DF,93,1.6,1.7,1.7,0.214,1,29,COLETA_RECICLAGEM,COMERCIO_ATACADO,PP BRANCO,B (bom)
PP_TIER2,PP,ES,103,2.0,2.4,3.068,0.245,2,18,COMERCIO_ATACADO,COMERCIO_ATACADO,"PP BRANCO, PP MINERAL",A (excelente)
PP_TIER2,PP,GO,34,0.9,1.2,1.85,0.478,1,25,COLETA_RECICLAGEM,COMERCIO_ATACADO,PP BRANCO,C (razoável)
PP_TIER2,PP,MG,295,1.7,2.1,2.3,0.248,1,31,COOPERATIVA,COLETA_RECICLAGEM,PP BRANCO,A (excelente)
PP_TIER2,PP,MS,15,1.0,1.2,1.5,0.274,1,12,OUTROS_SETOR,COLETA_RECICLAGEM,PP BRANCO,D (insuficiente)
PP_TIER2,PP,PR,540,1.7,1.95,2.2,0.213,3,36,COOPERATIVA,COMERCIO_ATACADO,"PP BRANCO, PP MINERAL, PP MARGARINA",A (excelente)
PP_TIER2,PP,RJ,326,0.4,2.5,2.7,0.583,2,27,COOPERATIVA,COMERCIO_ATACADO,"PP BRANCO, SUCATA DE PP MINERAL",C (razoável)
PP_TIER2,PP,RN,36,3.31,3.355,3.4,0.09,1,11,COLETA_RECICLAGEM,INDUSTRIA,PP BRANCO,C (razoável)
